userName,score,content,at,label,cleaned_ulasan,keyword_label,predicted_label
Feby Ade,5,sangat menarik,2025-07-13 21:27:14,2,menarik,2,2
idham vidi tamuliko,2,loginnya ribet,2025-07-13 18:27:05,0,loginnya ribet,0,0
ari purnomo aji,5,bagus untuk pengembangan diri secara mandiri,2025-07-13 12:31:52,2,bagus pengembangan mandiri,2,2
Cici Sukarsi,5,"program yg bagus, tolong dilanjutkan!",2025-07-12 15:30:07,2,program yg bagus tolong dilanjutkan,2,2
Abdul Rohman,5,mantap,2025-07-10 20:14:32,2,mantap,2,2
Fu Hua,1,Aplikasi jelek,2025-07-09 14:38:18,0,aplikasi jelek,0,0
Romy Syahrial,5,"tolong untuk proses loginnya dipermudah, mungkin dengan sinkrone ke google, facebook atau email, ribet kalau setiap 3 bulan harus reset password",2025-07-09 10:42:54,2,tolong proses loginnya dipermudah sinkrone google facebook email ribet reset password,0,2
jay jae2015,5,"aplikasinya bagus, membantu meningkatkan wawasan mengenai digitalisasi.",2025-07-09 08:30:41,2,aplikasinya bagus membantu meningkatkan wawasan digitalisasi,2,2
Zefanya Gutomo,1,"ga jelas, mau nasukin akun tapi isi data diri lagi, pas isi data diri ga bisa, nik sudah terdaftar, kan anehhhh",2025-07-07 17:40:26,0,ga nasukin akun isi data pas isi data ga nik terdaftar anehhhh,1,0
JAMHARI,5,oke,2025-07-07 16:31:19,2,oke,2,2
ari muklis,1,hatus pake vpn. males,2025-07-04 14:58:44,0,hatus pake vpn males,1,0
Zhafran Hafidz,5,mantap,2025-07-03 10:13:28,2,mantap,2,2
Helstig Pro,5,bagus,2025-07-03 09:29:17,2,bagus,2,2
Eko Effriyanto,5,keren,2025-07-03 03:22:35,2,keren,2,2
muntahariah Nurba,4,bagus bgt mashaAllah,2025-07-02 09:28:42,2,bagus bgt mashaallah,2,2
Unggul Supriyadi,5,baru mau menggunakan,2025-07-01 22:30:00,2,,1,2
M Naufal R,1,lag,2025-06-30 21:23:47,0,lag,1,0
Ryy Stok,1,ngulang2 terus padahal sudah dijawab,2025-06-29 19:52:38,0,ngulang,1,0
Herman Markos,5,banyak kursus gratis,2025-06-29 13:06:24,2,kursus gratis,1,2
Kang Yudistira,3,uninstall bintang 3 dulu ah banyak pelatihan tidak sesuai zonasi baiknya berlaku seluruh wilayah NKRI,2025-06-28 08:25:58,1,uninstall bintang ah pelatihan sesuai zonasi baiknya berlaku wilayah nkri,0,1
ANU AHANIMMU Busa inoac siantar,5,sangat membantu,2025-06-27 21:07:59,2,membantu,2,2
pani permata,3,"kenapa pada saat mau daftar trus validasi data di tulis nik sudah terdaftar, kemudian ketika mau ikut classnya harus validasi nik dulu, tapi pada saat validasi nik, nik sudah terdaftar",2025-06-25 13:03:24,1,daftar trus validasi data tulis nik terdaftar classnya validasi nik validasi nik nik terdaftar,1,1
Firnanda Bastian,5,sngt brmnfaatt,2025-06-24 07:58:19,2,sngt brmnfaatt,1,2
